subject,vgrf_ne,jumpheight_ne,brakingimpulse_ne,propulsiveimpulse_ne,vgrf_af,jumpheight_af,brakingimpulse_af,propulsiveimpulse_af,vgrf_re,jumpheight_re,brakingimpulse_re,propulsiveimpulse_re,vgrf_afef,jumpheight_afef,brakingimpulse_afef,propulsiveimpulse_afef,vgrf_afre,jumpheight_afre,brakingimpulse_afre,propulsiveimpulse_afre,vgrf_afefre,jumpheight_afefre,brakingimpulse_afefre,propulsiveimpulse_afefre
1,2369.64,41.925,279.2,518.27,2242.37,45.09,312.57,546.045,2255.02,45.58,333.02,551.14,2199.625,42.09,306,541.375,2191.9,45.475,362.95,556.74,2142.795,45.5,360.615,570.475
2,2267.035,27.885,250.125,408.675,2339.86,37.67,230.89,434.48,2293.655,27.19,257.01,413.755,2437.44,30.75,224.205,402.105,2402.2,29.18,252.445,403.9,2286.46,28.275,248.375,408.72
3,2381.515,39.47,308.445,490.275,2326.09,38.075,314.82,518.32,2422.425,39.945,310.84,513.785,2296.585,37.46,320.285,509.99,2359.995,40.565,309,503.95,2348.595,41.555,307.325,524.605
4,1752.785,27.55,130.645,268.33,1249.945,21.28,134.53,239.35,1178.98,20.96,277.44,243.05,1255.15,21.64,132.63,238.62,1249.945,21.28,134.53,239.35,1322.47,23.05,119.005,236.32
5,1486.005,26.945,176.26,274.44,1511.41,29.975,154.35,277.62,1527.375,27.4,168.59,274.095,1457.145,29.62,169.365,281.7,1568.99,27.845,161.28,269.865,1568.99,27.845,161.28,269.865
6,2173.895,40.365,179.255,349.36,2083.53,45.34,195.97,376.6,2083.155,49.54,178.045,376.74,2025.775,44.43,190.62,373.21,2137.285,41.35,183.18,359.26,2083.155,49.54,178.045,376.74
7,1604.035,26.445,187.445,322.875,1618.38,28.215,183.77,324.965,1634.505,26,197.175,327.225,1582.715,26.165,194.205,328.03,1617.515,23.815,189.81,315.54,1596.63,27.895,189.99,336.57
9,1839.115,25.63,197.135,345.875,1820.42,24.33,198.325,336.03,1798.84,25.05,200.31,352.455,1735.475,24.08,209.325,350.505,2896.82,24.605,201.22,341.435,1766.13,24.285,203.68,346.485
10,2141.315,44.395,286.27,515.8,2120.335,41.285,313.315,519.745,2071.41,44.065,316.16,529.52,2127.255,42.175,320.61,511.075,2189.94,48.595,287.935,527.805,2074.215,41.925,329.19,512.425
11,2790.435,41.35,268.605,492.795,2935.905,38.135,268.79,469.585,2847.435,39.825,255.555,481.525,2787.875,40.45,260.905,488.55,2851.53,48.71,245.43,501.13,2905.895,39.77,263.02,479.39
12,1706.325,38.075,248.015,437.3,1637.79,37.755,256.14,446.395,1682.385,41.1,267.115,465.54,1699.6,35.185,245.93,422.305,1740.19,39.085,241.865,439.74,1666.465,36.865,258.57,438.85
13,1596.71,24.625,198.425,347.915,1527.54,23.24,199.49,346.295,1592.605,24.96,192.845,344.64,1559.305,25.835,192.355,355.81,1587.26,24.215,190.215,343.875,1648.65,25.635,187.235,334.17
14,1336.39,24.89,132.715,242.955,1277.34,26.34,136.975,246.75,1327.625,27.605,137.725,247.85,1425.825,27.28,124.775,240.345,1487.25,25.67,123.5,230.37,1314.975,24.735,136.85,242.4
15,1485.64,19.96,174.215,306.565,1470.94,18.5,163.095,291.035,1503.275,18.905,159.76,281.46,1434.745,21.415,174.53,315.835,1475.62,19.185,155.495,289.335,1441.445,20.265,151.04,287.12
16,1713.57,24.935,172.42,352.315,1812.415,22.64,163.72,327.73,1821.57,24.315,162.18,335.82,1821.57,24.315,162.18,335.82,1873.615,21.1,154.765,315.17,1877.78,23.06,163.07,321.71
17,1301.25,25.24,228.4,345.39,1305.4,32.9,211.3,365.13,1329.95,29.17,208.01,301.33,1305.4,32.9,211.3,365.13,1307.8,27.89,195.13,352.3,1298.7,30.2,196.13,354.82
18,1630.04,36.4,193.36,359.23,1627.51,33.65,212.71,364.4,1684.56,34.26,201.71,353.03,1619.09,35.15,209.6,366.33,1634.9,36.37,203.45,360.8,1607.97,34.86,203.27,357.5
19,2109.42,44.02,270.52,481.35,2058.64,42.65,281.15,484.06,2074.78,45.48,284.525,495.23,2030.14,41.41,281.49,484.96,2155.7,46.83,275.48,489.38,2080.78,44.2,281.12,494.64
20,2278.02,28.75,240.64,397.65,2456.86,29.4,208.38,383.76,2125.11,33.28,229.82,428.77,2087.81,29.46,249.68,424.95,2169.82,32.26,218.33,420.78,2148.78,29.93,207.6,414.54
21,1379.99,25.95,163.34,289.39,1359.25,25.24,152.52,288.48,1373.13,26.45,141.75,294.92,1334.89,28.02,130.45,308.21,1465.39,26.93,133.57,280.93,1388.28,26.59,135.28,292.1
22,1270.26,17.5,160.02,277.27,1280.72,18.62,157.16,281.54,1284.68,17.25,152.78,274.65,1245.34,17.79,163.47,283.62,1231.34,18.58,160.83,278.64,1237.18,18.61,157.4,286.31
23,1617.45,36.11,318.12,348.56,1647.64,35.4,200.27,347.79,1551.71,36.3,205.69,364.45,1545.74,31.52,214.05,354.74,1656.73,34.64,198.58,346.44,1635.63,36.9,194.26,347.5
24,2941.25,31.385,274.15,511.49,2992.77,29.26,271.48,499.3,2851.62,31.25,273.79,520.03,2954.04,32.01,256.57,513.7,2967.43,31.13,275.64,509.3,2953.09,29.56,267.54,501.07
25,2820.15,46.56,306.76,583.9,2714.94,47.115,302.73,279.67,2826.53,45.8,308.28,585.93,2638.24,45.79,302.45,583.46,2771.84,47.4,311.66,583.59,2896.34,46.37,313.46,593.35
26,1360.72,22.93,245.5,369.97,1319.67,24.78,248.44,367.29,1282.28,24.47,257.125,380.05,1308.66,24.89,251.41,383.2,1291.72,24.08,248.83,379.71,1298.43,25.19,248.35,381.31
27,1778.14,32.78,228.73,421.64,1831.72,32.12,244.81,420.16,1745.88,32.53,276.67,425.19,1778.19,32.45,249.4,330.52,1821.69,33.36,243.51,427.69,1824.64,32.36,226.06,420.99
28,2203.45,40.71,242.505,437.255,2176.645,38.83,245.575,429.335,2240.25,40.89,241.89,441.13,2123.58,36.495,234.726,419.42,2230.26,37.995,228.15,412.505,2310.81,41.48,235.88,437.35
29,1751.1,20.49,201.37,320.33,1704.89,20.06,201.7,333.9,1642.7,19.32,238.43,356.42,1706.2,20.46,192,314.71,1642.7,19.32,238.43,356.42,1675.02,21.15,221.72,343.9
30,1341.29,32.495,197.82,351.225,1346.28,29.505,208.725,340.17,1387.77,30.69,203.435,347.17,1426.315,30.07,203.74,349.545,1374.755,31.59,196.825,346.21,1345.01,28.88,202.715,334.195
31,1769.68,39.535,214.58,386.515,1665.13,41.245,223.655,390.235,1646.89,40.02,236.055,394.63,1665.13,42.295,211.98,396.95,1686.425,43.705,221.04,394.75,1657.685,40.89,237.265,407.005
32,2177.51,37.83,298.08,509.4,2277.635,40.235,284.995,523.02,2194.17,36.885,287.735,518.145,2132.9,35.92,300.88,506.12,2208.52,37.945,285.245,517.765,2244.23,39.47,286.24,529.08
33,1634.205,23.06,156.84,291.545,1528.935,21.945,167.55,301.555,1563.88,22.45,170.04,304.76,1507.665,21.65,167.49,298.115,1517.935,21.845,166.05,300.28,1624.835,24.1,163.565,298.06
34,1161.8,27.7,151.15,253.41,1202.92,29,149.99,257.51,1096.84,30.76,156.85,273.09,1044.52,28.92,166.79,290.06,1082.81,28.28,153.46,270.39,1054.51,26.89,165.7,274.32
35,1602.035,15.57,244.725,435.16,1580.95,16.3,241.65,432.045,1563.705,15.2,234.165,422.01,1596.335,16.41,239.155,431.375,1580.405,16.425,230.99,430.9,1634.36,14.955,234.155,417.405
36,2635.08,35.08,245.21,446.15,2675.53,38.15,262.84,473.2,2677.71,37.6,268.6,463.39,2709.36,35.53,254.86,454.27,2686.83,38.935,244.28,462.47,2821.82,37.6,254.66,463.94
37,2062.45,38.91,237.4,420.89,1985.595,38.225,237.35,417.535,2035.37,38.3,249.135,417.67,1942.98,43.065,251.06,436.13,1976.18,38.695,235.54,322.29,2060.815,39.62,254.365,425.325
38,1574.39,17.91,228.2,352.77,1581.34,18.45,229.05,354.28,1592.07,18.83,232.66,360.18,1470.88,18.22,226.62,375.88,1560.06,19.53,219.45,352.23,1647.01,20.575,216.175,352.505
39,2496.67,25.94,163.98,335.94,2542.86,31.69,154.61,356.61,2250.75,24.34,181.61,349.74,2567.4,24.48,156.6,325.14,2432.49,27.86,170.59,348.19,2564.53,32.18,145.98,356.94
40,2467.18,39.41,337.02,540.06,2264.21,37.96,345.6,572.67,2361.59,38.97,330.175,544.37,2355.38,38.45,288.34,544.51,2335.82,37.14,358.22,556.3,2268.94,37.96,358.21,558.1
41,2282.24,30.05,308.22,494.03,2316.47,34.76,289.22,507.26,2231.59,32.8,284.63,501.18,2353.03,33.13,279.45,477.84,2329.57,29.08,289.71,385.25,2406.09,30.26,295.53,504.15
